date,open,high,low,close,volume,dividend_amount
03-10-2006,261.9,264.5,255,255.65,543674,0
04-10-2006,257,258.75,251.6,252.35,383833,0
05-10-2006,256.4,258.25,254,257.1,259239,0
06-10-2006,258.5,258.5,255.55,255.95,105252,0
09-10-2006,255,262.25,253,261.45,246260,0
10-10-2006,263.5,264.35,260.05,261.7,285770,0
11-10-2006,261,265,259.2,260.85,482158,0
12-10-2006,262.5,262.9,258,261.6,194852,0
13-10-2006,263.95,263.95,259.1,260.6,411720,0
16-10-2006,263,265.75,261.25,264.2,456107,0
17-10-2006,264.2,267.5,260.4,261.5,600128,0
18-10-2006,262.9,263.9,261,261.65,120523,0
19-10-2006,263.5,264.6,259,260.5,153291,0
20-10-2006,261,264,260.5,262.5,138747,0
23-10-2006,263.25,265,256.1,256.9,271494,0
26-10-2006,260,260,254,258.1,365732,0
27-10-2006,259.9,260.5,257.5,259.6,259084,0
30-10-2006,262.5,264.35,258,262.75,359772,0
31-10-2006,264.95,264.95,259.25,262.05,308739,0
01-11-2006,264,264,256.1,256.95,518631,0
02-11-2006,260,260.45,255,255.65,214445,0
03-11-2006,258,259,253.5,255.95,139671,0
06-11-2006,259.8,264.2,256,263.35,291674,0
07-11-2006,267,268.9,261.5,265.6,812358,0
08-11-2006,266,269,263,267.1,473287,0
09-11-2006,269.75,273,268.35,271.25,449918,0
10-11-2006,275,275,267,267.95,229071,0
13-11-2006,271.45,271.45,266.1,268.4,277124,0
14-11-2006,270,270,262.5,265.85,220934,0
15-11-2006,267.9,267.9,262.3,264.95,457477,0
16-11-2006,267.8,267.8,262.1,264.9,156733,0
17-11-2006,264,265,258.6,260,345236,0
20-11-2006,259,259,253,256.4,333332,0
21-11-2006,257.5,259,256.5,258.05,88379,0
22-11-2006,258.5,263.25,257.55,262,185519,0
23-11-2006,263,264.9,259,259.9,116073,0
24-11-2006,260.25,265,259,264.45,238410,0
27-11-2006,265,266.85,260.25,261.4,84967,0
28-11-2006,261.4,263.55,254.55,255.4,202681,0
29-11-2006,256,260,247.05,248.95,634352,0
30-11-2006,254,255,251.1,253.85,166142,0
01-12-2006,257.15,257.15,253,254.55,101313,0
04-12-2006,257,257,251.75,253.7,115030,0
