date,open,high,low,close,volume,dividend_amount
2009-01-12,481.05,493.85,445.0,452.55,6827615.0,0.0
2009-01-13,455.9,464.95,433.65,440.15,5566945.0,0.0
2009-01-14,450.0,457.2,439.0,449.8,2476585.0,0.0
2009-01-15,439.4,439.4,421.0,434.65,3281865.0,0.0
2009-01-16,430.0,450.45,430.0,444.35,2093740.0,0.0
2009-01-19,449.4,450.0,431.9,438.35,1973655.0,0.0
2009-01-20,430.0,430.0,417.0,422.4,1849840.0,0.0
2009-01-21,415.0,427.6,404.6,407.95,2769140.0,0.0
2009-01-22,415.0,421.0,403.0,415.95,2874530.0,0.0
2009-01-23,409.9,418.6,380.0,384.1,4332900.0,0.0
2009-01-27,397.0,398.0,382.5,394.5,2814940.0,0.0
2009-01-28,396.0,430.0,396.0,423.1,4348700.0,0.0
2009-01-29,429.15,445.0,426.0,435.05,3759200.0,0.0
2009-01-30,430.55,438.3,419.0,433.0,3367360.0,0.0
2009-02-02,431.7,431.7,392.5,397.65,2929345.0,0.0
2009-02-03,404.95,410.75,392.25,395.35,3119195.0,0.0
2009-02-04,409.5,409.55,392.55,394.75,2362240.0,0.0
2009-02-05,398.75,399.8,384.6,392.1,2603320.0,0.0
2009-02-06,396.0,407.5,394.1,402.7,2945655.0,0.0
2009-02-09,409.0,423.3,406.25,421.7,2825470.0,0.0
2009-02-10,424.7,434.95,416.05,421.05,3232345.0,0.0
2009-02-11,415.0,433.6,407.0,431.55,4052220.0,0.0
2009-02-12,434.7,434.9,425.0,430.7,4618610.0,0.0
2009-02-13,435.0,444.0,435.0,439.2,1830055.0,0.0
2009-02-16,439.0,439.0,411.0,418.75,2078020.0,0.0
2009-02-17,415.0,419.0,393.5,399.7,3674560.0,0.0
2009-02-18,381.0,403.0,381.0,394.1,2815950.0,0.0
2009-02-19,402.4,404.5,385.5,388.45,2825095.0,0.0
2009-02-20,385.0,388.0,368.1,373.15,2660490.0,0.0
2009-02-24,365.0,370.0,355.0,363.65,3474075.0,0.0
2009-02-25,372.65,375.75,364.5,366.25,2167005.0,0.0
2009-02-26,366.0,366.0,343.0,346.5,3622615.0,0.0
2009-02-27,349.9,352.5,337.1,347.95,3205100.0,0.0
2009-03-02,335.0,340.0,319.25,323.05,2866855.0,0.0
2009-03-03,316.7,334.45,315.1,324.95,5635120.0,0.0
2009-03-04,334.0,334.0,319.2,322.6,4526305.0,0.0
2009-03-05,325.0,334.05,296.8,300.85,5604140.0,0.0
2009-03-06,295.4,308.5,286.55,295.25,10605670.0,0.0
2009-03-09,289.9,296.9,278.5,280.9,4275210.0,0.0
2009-03-12,287.0,307.2,283.05,304.35,7044575.0,0.0
2009-03-13,312.35,335.0,312.35,330.55,4798290.0,0.0
2009-03-16,335.0,353.5,326.1,342.7,8628040.0,0.0
2009-03-17,345.0,347.5,321.55,325.8,7052335.0,0.0
2009-03-18,330.0,346.9,330.0,341.25,5450935.0,0.0
2009-03-19,345.0,362.7,343.1,358.3,6978355.0,0.0
2009-03-20,360.0,362.7,340.0,343.05,5964520.0,0.0
2009-03-23,348.25,377.25,347.75,374.05,7491690.0,0.0
2009-03-24,377.0,399.3,366.0,372.3,8231775.0,0.0
2009-03-25,365.0,405.05,365.0,397.75,8697270.0,0.0
2009-03-26,406.0,425.9,405.0,421.5,9425875.0,0.0
